#OTU_ID	LL1	LL2	LL3	LR1	LR2	LR3	AL1	AL2	AL3	AR1	AR2	AR3	taxonomy
Spirochaetaceae	0	0	0	0	0	0	0	0	0	2	0	0	d__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae
Synergistaceae	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae
Acholeplasmataceae	0	0	1	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae
Opitutaceae	0	0	0	0	0	0	0	0	2	0	0	0	d__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae
Verrucomicrobiaceae	0	1	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae
Bryobacterales	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Bryobacterales
Acidimicrobiales	0	1	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales
Corynebacteriales	0	3	0	1	0	0	1	0	2	3	2	2	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales
Micrococcales	10	15	53	7	3	8	1	7	9	30	20	82	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales
Propionibacteriales	2	2	7	2	0	4	0	7	3	5	2	27	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales
Bacteroidales	3	3	16	2	18	4	38	27	22	252	136	24	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
Cytophagales	0	3	0	0	0	0	0	0	0	1	1	0	d__Bacteria; p__Bacteroidota; c__Cytophagia; o__Cytophagales
Flavobacteriales	2	3	0	2	1	1	5	3	4	16	4	8	d__Bacteria; p__Bacteroidota; c__Flavobacteriia; o__Flavobacteriales
Chroococcales	1	0	0	0	0	8	0	0	0	0	0	0	d__Bacteria; p__Cyanobacteria; c__unknown; o__Chroococcales
Nostocales	11	5	21	11	3	18	11	3	15	19	21	9	d__Bacteria; p__Cyanobacteria; c__unknown; o__Nostocales
Oscillatoriales	0	2	2	1	6	0	1	0	1	2	2	1	d__Bacteria; p__Cyanobacteria; c__unknown; o__Oscillatoriales
Synechococcales	0	0	0	0	5	0	0	0	0	0	0	0	d__Bacteria; p__Cyanobacteria; c__unknown; o__Synechococcales
Bacillales	261	170	104	182	246	106	61	319	187	125	116	201	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
Lactobacillales	17	60	28	20	21	19	32	35	74	120	217	76	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
Eubacteriales	3	26	77	18	25	14	100	80	54	308	252	22	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales
Selenomonadales	0	0	0	0	0	0	1	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales
Tissierellales	3	11	11	5	10	5	2	8	3	21	9	8	d__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales
Fusobacteriales	0	0	1	0	0	0	1	0	0	4	0	3	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales
Pirellulales	0	0	2	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Hyphomicrobiales	15	47	48	69	38	13	48	13	15	45	57	70	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales
Rhodospirillales	0	0	1	2	2	3	0	1	1	0	2	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
Sphingomonadales	2	6	11	8	10	8	7	1	3	10	2	14	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales
Burkholderiales	12	54	32	13	25	20	39	48	50	252	141	61	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
Neisseriales	2	5	2	9	0	2	41	38	23	137	88	30	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales
Rhodocyclales	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales
Myxococcales	0	0	2	7	1	1	0	0	0	1	4	1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales
Campylobacterales	0	0	0	0	0	0	3	0	0	1	1	0	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales
Aeromonadales	0	0	0	0	0	0	0	0	1	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales
Enterobacterales	38	62	36	10	44	70	4888	567	352	167	291	690	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
Pseudomonadales	13	14	19	19	22	15	29	3	7	54	29	25	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
Xanthomonadales	2	0	4	2	0	3	2	0	2	8	3	4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales
Spirochaetales	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales
Verrucomicrobiales	0	0	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales
unassigned	822	1073	1226	1113	1106	964	1904	1382	966	2917	2530	1908	u__unassigned
